gbd_location_id,jis_code,prefecture_en
35424,01,Hokkaidō
35425,02,Aomori
35426,03,Iwate
35427,04,Miyagi
35428,05,Akita
35429,06,Yamagata
35430,07,Fukushima
35431,08,Ibaraki
35432,09,Tochigi
35433,10,Gunma
35434,11,Saitama
35435,12,Chiba
35436,13,Tōkyō
35437,14,Kanagawa
35438,15,Niigata
35439,16,Toyama
35440,17,Ishikawa
35441,18,Fukui
35442,19,Yamanashi
35443,20,Nagano
35444,21,Gifu
35445,22,Shizuoka
35446,23,Aichi
35447,24,Mie
35448,25,Shiga
35449,26,Kyōto
35450,27,Ōsaka
35451,28,Hyōgo
35452,29,Nara
35453,30,Wakayama
35454,31,Tottori
35455,32,Shimane
35456,33,Okayama
35457,34,Hiroshima
35458,35,Yamaguchi
35459,36,Tokushima
35460,37,Kagawa
35461,38,Ehime
35462,39,Kōchi
35463,40,Fukuoka
35464,41,Saga
35465,42,Nagasaki
35466,43,Kumamoto
35467,44,Ōita
35468,45,Miyazaki
35469,46,Kagoshima
35470,47,Okinawa
